     0.777    -1.202    -0.542     0.218     1.062     0.308     0.217     0.450     0.001     0.024     0.000     3.000
     0.339    -1.269    -0.806    -1.117    -1.506     0.685     0.016     0.299     0.000     0.000     0.000     1.000
     0.996     0.540    -0.013     1.109     0.491     0.029     0.917     0.024     0.001     0.029     0.000     2.000
    -0.318    -0.331    -0.013     1.257    -0.365     0.126     0.863     0.011     0.000     0.000     0.000     2.000
     1.215     0.607     0.252     1.702    -0.365     0.060     0.913     0.005     0.000     0.023     0.000     2.000
     0.777    -1.202     1.045    -0.820     1.062     0.001     0.003     0.969     0.019     0.008     0.000     3.000
     2.967    -0.733    -0.806    -0.227    -0.365     0.075     0.002     0.017     0.000     0.907     0.000     5.000
    -0.318     0.004    -0.542    -0.078     1.062     0.021     0.724     0.255     0.000     0.001     0.000     2.000
     0.120     1.814    -0.277     0.367     0.491     0.001     0.985     0.013     0.000     0.001     0.000     2.000
    -0.099    -0.197    -0.806     1.109    -0.080     0.181     0.813     0.007     0.000     0.000     0.000     2.000
     0.339    -1.604    -0.542     1.702    -0.650     0.921     0.078     0.001     0.000     0.000     0.000     1.000
