    55.550    55.450    63.010    64.360    64.230    68.360    55.216     2.585    55.494     2.536     0.864     0.081     0.056     1.000
         *         *         *    42.620    51.360    46.670    42.064     1.558    42.433     1.449     0.006     0.078     0.916     3.000
    27.750    31.030    43.010    36.300         *         *    32.862     2.141    33.210     1.578     0.000     0.193     0.807     3.000
    44.500         *         *         *         *         *    45.342     2.752    44.565     1.580     0.108     0.441     0.451     3.000
    62.340    55.620    64.850    70.680    74.120    85.510    56.908     4.438    56.881     4.451     0.956     0.025     0.019     1.000
         *         *         *    63.280    67.680    68.060    54.860     2.902    56.365     2.645     0.744     0.212     0.044     1.000
         *         *         *    59.720         *    62.120    49.770     2.724    46.014     3.497     0.383     0.428     0.189     2.000
    51.460    53.810    55.910    61.140    63.610    63.260    51.757     2.741    52.067     2.716     0.782     0.108     0.110     1.000
    57.310         *    62.030    61.080         *         *    55.647     2.382    56.187     2.309     0.757     0.133     0.110     1.000
    37.830         *         *         *         *         *    40.617     2.827    40.089     1.534     0.026     0.461     0.513     3.000
    35.810         *         *         *         *         *    39.265     2.862    38.733     1.521     0.017     0.462     0.521     3.000
    34.660    35.730    41.630    50.260         *         *    37.336     3.341    36.528     4.435     0.004     0.502     0.494     2.000
         *         *         *    64.130    64.840    64.130    54.364     2.492    56.585     2.108     0.668     0.255     0.077     1.000
    51.710    53.550    64.210    63.470    57.600    67.220    51.259     2.819    50.299     3.184     0.071     0.637     0.291     2.000
         *         *         *    52.270    48.270    53.430    43.807     1.808    44.882     1.449     0.030     0.224     0.746     3.000
         *         *         *    63.380    66.600    63.690    54.614     2.565    56.684     2.238     0.679     0.242     0.079     1.000
    63.540    66.070    70.580    67.280    74.980         *    62.536     2.844    62.576     2.841     0.981     0.011     0.008     1.000
    43.590    53.990         *         *    62.400         *    47.510     3.546    45.979     3.963     0.269     0.564     0.166     2.000
         *         *         *    52.260         *         *    45.293     2.680    46.296     1.748     0.078     0.449     0.472     3.000
         *         *         *    74.330    79.780    81.010    64.187     3.566    64.267     3.556     0.987     0.011     0.002     1.000
         *         *         *    48.520    43.630    39.610    42.075     0.734    42.090     0.731     0.003     0.004     0.994     3.000
    64.470    69.870    74.240    67.960    78.470         *    64.807     2.973    64.908     2.966     0.963     0.025     0.011     1.000
         *         *         *    60.710    65.230    65.940    52.431     2.903    54.512     2.523     0.619     0.303     0.078     1.000
    50.430    53.700    57.840    51.850         *         *    49.707     2.148    50.136     1.603     0.151     0.319     0.530     3.000
         *         *         *    64.100    65.660         *    54.440     2.838    56.201     2.514     0.696     0.234     0.070     1.000
    52.490    46.480    67.950    79.240         *         *    52.651     4.235    52.647     4.235     0.000     0.997     0.003     2.000
    52.040         *         *         *         *         *    51.669     2.773    54.696     3.044     0.402     0.321     0.277     1.000
    52.410    53.450         *         *         *         *    51.138     2.663    52.417     2.865     0.400     0.290     0.310     1.000
    36.570         *    45.830         *         *         *    40.026     2.875    40.345     1.749     0.017     0.437     0.545     3.000
         *         *         *    55.340    58.820    65.100    46.949     3.194    44.745     3.874     0.248     0.533     0.219     2.000
    35.710    38.340         *    47.010    57.450    60.290    38.187     4.328    37.975     4.458     0.005     0.888     0.107     2.000
    54.290    51.440    61.970    65.460    68.930    68.790    53.273     3.524    53.628     3.540     0.728     0.214     0.059     1.000
    44.470    37.110    33.970    49.460         *         *    39.967     2.196    40.237     1.354     0.000     0.363     0.636     3.000
    48.020    47.170    60.060    55.660    52.840    55.030    47.850     1.838    48.376     1.643     0.030     0.257     0.712     3.000
    51.160         *         *         *         *         *    50.869     2.765    54.137     3.055     0.355     0.343     0.302     1.000
    45.760    48.950    57.910         *         *         *    47.433     3.179    46.393     3.849     0.199     0.467     0.334     2.000
    74.280    75.470    75.440    78.030    79.940    80.640    70.802     2.308    70.803     2.308     1.000     0.000     0.000     1.000
         *         *         *    53.140    64.650    63.140    46.650     3.529    45.742     3.763     0.059     0.788     0.153     2.000
    47.140    59.060    56.420    47.460         *         *    48.084     2.552    47.198     3.226     0.006     0.647     0.347     2.000
         *         *         *    62.770         *         *    52.589     3.015    55.571     2.645     0.527     0.353     0.120     1.000
    47.920    52.090    60.910    64.870    64.940    65.780    51.363     3.323    52.429     3.202     0.619     0.291     0.090     1.000
    44.030    51.600    62.250    61.720    66.370    61.420    49.285     3.411    47.558     3.588     0.321     0.511     0.168     2.000
         *         *         *    75.290    80.550    82.390    64.792     3.644    64.846     3.637     0.991     0.007     0.001     1.000
    44.150    45.160         *         *         *         *    44.078     2.502    44.037     1.546     0.046     0.381     0.573     3.000
         *         *         *    46.130         *    42.670    41.977     1.009    42.022     0.994     0.007     0.012     0.981     3.000
         *         *         *    64.100    70.590    68.610    55.988     3.035    57.542     2.805     0.742     0.219     0.039     1.000
         *         *         *    51.870    52.750    46.790    45.735     1.433    45.851     1.400     0.051     0.048     0.901     3.000
    70.490    75.400    76.640    77.190    82.850    88.120    69.467     3.297    69.468     3.297     1.000     0.000     0.000     1.000
    54.850    62.450    65.170    64.960    69.150    71.100    58.045     2.738    58.187     2.716     0.954     0.031     0.015     1.000
         *         *         *    60.110    56.750    61.570    47.910     2.728    45.103     3.455     0.209     0.529     0.261     2.000
    48.510    49.090    60.280    53.710    58.790         *    48.369     2.669    49.109     2.187     0.129     0.409     0.462     3.000
    58.500    69.760         *    68.050         *         *    61.620     2.602    62.227     2.552     0.868     0.106     0.026     1.000
    43.270         *         *         *         *         *    44.426     2.760    43.740     1.572     0.084     0.448     0.468     3.000
    64.050    62.040    75.760    74.650         *         *    63.247     3.697    63.362     3.726     0.954     0.035     0.011     1.000
