CASENUM,COHORT,AB39A,GA32A,KA46A,AB39B,AB39C,AB39D,AB39E,AB39F,AB39G,AB39H,GA32H,KA46H,AB39I,GA32I,KA46I,AB39J,AB39K,GA32K,KA46K,AB39L,GA32L,KA46L,AB39M,GA33A,KA47A,AB39N,AB39O,AB39P,AB39Q,AB39R,AB39S,AB39T,GA33H,KA47H,AB39U,GA33I,KA47I,AB39V,AB39W,GA33K,KA47K,AB39X,GA33L,KA47L,SCIENCEG7,SCIG8,SCIG11,MTH7,SCI7,SCI8,MOTHED,FATHED,PEDUC,PEDUC3,RSEDAN,RSEDAN6,RSEDAN5,RBACC,RMAJFIRST,RMAJFIRST2,RMAJLAST2,RMAJLAST,RGRADMAJ,RGRADMAJ10,RSTEMM,RSTEMMX,RSTEMMB,RSTEMMA,WEIGHT7,WEIGHT8,WEIGHT9,WEIGHT10,WEIGHT11,WEIGHT12,WEIGHTP1,WEIGHTP2,WEIGHTP4,WGT12A,WEIGHTR,GENDER,RACETH3,RACETH,MINORITY,STEM,STEMSUP,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE
2246,2,0,NA,NA,5,5,-96,1,2,5,0,NA,NA,1,NA,NA,5,1,NA,NA,0,NA,NA,0,NA,NA,5,5,5,1,2,5,1,NA,NA,NA,NA,NA,-98,NA,NA,NA,NA,NA,NA,34.42,9999,9999,1,1,-99,-99,-99,-99,-99,4,2,1,0,10,0,0,0,0,0,0,21,2,2,1.8436,0,0,0,0,0,0,0,0,0,1.45,1,3,3,0,0,1,0,37.78,9999,9999,9999,9999,1
1978,2,1,NA,NA,2,2,4,-96,4,3,0,NA,NA,1,NA,NA,5,0,NA,NA,0,NA,NA,0,NA,NA,3,3,5,1,1,1,1,NA,NA,0,NA,NA,2,1,NA,NA,1,NA,NA,47.47,55.33,9999,2,1,1,1,2,2,1,15,5,4,1,6,0,0,6,0,7,0,25,1,1,1.8436,1.889,1.8987,1.986,2.4785,0,0,0,0,0,1.45,1,1,1,1,0,0,0,58.72,57.87,9999,9999,9999,1
6539,2,1,1,1,2,2,5,4,2,3,0,1,1,0,1,1,3,0,1,1,0,1,1,0,1,1,3,3,3,3,3,3,0,1,1,0,1,1,3,0,1,0,0,1,1,49.1,64.97,70.93,3,1,1,2,2,2,1,11,4,3,1,3,1,0,9,0,0,0,43,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,3.05,2,1,1,1,0,0,0,59.03,58.36,77.13,75.97,77.73,0
2005,2,1,NA,NA,2,3,4,5,1,2,1,NA,NA,1,NA,NA,3,0,NA,NA,0,NA,NA,0,NA,NA,4,5,4,2,4,2,1,NA,NA,0,NA,NA,4,0,NA,NA,0,NA,NA,40.84,9999,9999,1,0,0,3,3,3,3,6,2,1,0,9,0,0,0,0,0,0,18,1,1,1.8436,1.889,1.8987,1.8467,0,0,0,0,0,0,3.05,2,-99,-99,9999,0,0,0,33.83,9999,9999,9999,9999,0
4305,2,1,1,NA,2,2,3,4,4,2,1,0,NA,0,0,NA,3,1,1,NA,1,0,NA,1,1,NA,1,1,3,4,5,4,1,0,NA,1,1,NA,3,0,0,NA,1,0,NA,54.2,52.84,9999,3,1,1,2,2,2,1,13,4,3,1,6,0,0,6,0,0,0,43,1,1,1.8436,1.889,1.8987,1.986,2.4785,0,0,0,0,2.2994,3.05,2,3,3,0,0,0,0,41.25,45.27,9999,9999,9999,0
2332,2,0,NA,NA,2,2,4,5,4,4,0,NA,NA,0,NA,NA,4,1,NA,NA,1,NA,NA,0,NA,NA,1,1,4,3,2,4,0,NA,NA,1,NA,NA,4,1,NA,NA,1,NA,NA,45.52,9999,9999,3,1,1,2,2,2,1,11,4,3,1,6,0,0,6,0,0,0,32,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,49.89,41.44,9999,9999,9999,1
2568,2,0,1,NA,2,3,5,2,1,2,1,1,NA,1,1,NA,5,1,1,NA,1,1,NA,0,0,NA,4,4,2,2,1,1,0,0,NA,0,0,NA,2,0,1,NA,0,0,NA,44.39,60.59,9999,3,1,1,2,3,3,3,8,2,1,0,6,0,0,0,0,0,0,18,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,62.84,69.18,73.85,9999,9999,1
2508,2,1,NA,NA,3,2,5,4,2,5,1,NA,NA,1,NA,NA,5,1,NA,NA,1,NA,NA,1,NA,NA,3,2,5,4,2,5,1,NA,NA,1,NA,NA,5,1,NA,NA,1,NA,NA,56.45,50.61,9999,4,1,1,4,5,5,4,15,5,4,1,6,0,0,6,0,6,0,18,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,60.41,9999,9999,9999,9999,1
5914,2,1,NA,NA,1,1,2,4,3,5,1,NA,NA,1,NA,NA,3,0,NA,NA,0,NA,NA,0,NA,NA,3,2,5,4,2,4,0,NA,NA,1,NA,NA,5,0,NA,NA,0,NA,NA,42.21,46.58,9999,1,1,1,2,2,2,1,8,2,1,0,10,0,-99,0,0,0,0,18,1,1,1.8436,1.889,1.8987,1.986,0,0,2.5157,0,0,2.2994,3.05,2,3,3,0,0,0,0,52.41,49.91,9999,9999,9999,0
6097,2,0,NA,NA,3,4,-98,1,5,2,0,NA,NA,NA,NA,NA,5,0,NA,NA,0,NA,NA,1,NA,NA,1,3,4,4,-98,4,0,NA,NA,1,NA,NA,5,0,NA,NA,1,NA,NA,9999,35.63,9999,1,1,-99,1,3,3,3,3,2,1,0,10,0,0,0,0,0,0,63,0,0,1.8436,1.889,0,0,0,0,0,0,0,0,1.45,1,3,3,0,0,0,0,39.31,9999,9999,9999,9999,1
