CASENUM,GENDER,AB34D,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1393,2,NA,NA,NA,NA,67.82,69.57,76.36
1394,2,3,44.49,59,59.44,NA,58.06,NA
1395,2,2,47.94,38.82,59.2,51.45,46.43,NA
1396,1,1,40.91,65.05,68.49,69.19,62.28,NA
1397,1,1,41.6,52.55,48.76,46.23,48.48,52.83
1398,2,NA,NA,NA,NA,47.45,NA,NA
1399,1,2,46.78,43.53,47.03,58.83,62.38,NA
1400,2,1,35.12,38.88,NA,NA,NA,NA
1401,2,NA,NA,NA,NA,50.94,51,61.91
1402,1,1,57.2,61.92,69,71.59,69.51,74.87
1403,2,3,40.03,53.69,52,43.49,37.91,52.87
1404,2,2,40.28,NA,NA,NA,NA,NA
1405,2,2,46.84,59.65,NA,69.19,NA,NA
1406,2,3,58.55,64.27,NA,NA,NA,NA
1407,2,3,71.05,73.77,76.25,72.97,75.96,NA
1408,1,NA,NA,NA,NA,45.23,49.87,54.31
1409,1,NA,NA,NA,NA,64.92,73.3,66.9
1410,2,2,39.62,58.66,66.64,65.08,NA,NA
1411,1,NA,NA,NA,NA,NA,NA,69.97
1412,1,2,31.65,45.08,NA,39.16,NA,NA
1413,1,2,58.15,60.8,67.92,61.66,58.47,66.77
1414,1,NA,NA,NA,NA,51.53,61.43,68.8
1415,2,NA,NA,NA,NA,62.24,57.48,NA
1416,1,2,49.16,40.01,64.12,63.67,NA,NA
1417,2,NA,NA,NA,NA,46.32,NA,50.72
1418,2,NA,NA,NA,NA,71.99,NA,NA
1419,1,3,33.63,39.88,NA,50.44,NA,NA
1420,2,NA,NA,NA,NA,57.95,NA,NA
1421,2,NA,NA,NA,NA,47.82,46.99,49.27
1422,1,NA,NA,NA,NA,50.05,NA,58
1423,2,NA,NA,NA,NA,62.53,NA,53.77
1424,1,NA,NA,NA,NA,49.3,NA,NA
1425,1,2,48,39.14,53.85,55.62,51.58,57.66
1426,2,NA,NA,NA,NA,84.78,88.09,90.68
1427,1,NA,NA,NA,NA,61.92,68.28,63.77
1428,1,2,43.58,37.48,45.06,42.79,NA,NA
1429,2,2,52.23,57.08,NA,NA,NA,NA
1430,2,NA,NA,NA,NA,81.39,79.52,82.68
1431,2,1,70.41,74.67,77.03,80.33,87.31,85.62
1432,1,NA,NA,NA,NA,44.72,64.28,NA
1433,2,1,61.34,59.22,68.53,69.65,71.52,72.98
1434,1,NA,NA,NA,NA,55.36,50.03,60.51
1435,1,1,59.85,61.95,NA,NA,75.79,77.7
1436,1,1,45.62,46.08,39.58,NA,NA,NA
1437,1,NA,NA,NA,NA,65.57,63.15,64.52
1438,2,NA,NA,NA,NA,52.96,54.36,52.97
1439,1,2,59.39,63.18,70.17,72.74,75.2,79.21
1440,2,3,61.29,60.98,59.58,66.61,64.12,NA
1441,1,NA,NA,NA,NA,NA,69.88,74.89
1442,1,1,54.93,62.02,NA,NA,NA,NA
1443,1,3,61.96,NA,68.49,74.51,77.72,NA
1444,2,NA,NA,NA,NA,60.62,65.08,66.43
1445,2,1,47.1,NA,38.21,50.56,58.7,NA
1446,2,NA,NA,NA,NA,66.59,NA,NA
1447,2,2,41.94,NA,42.09,46.96,44.78,NA
1448,2,NA,NA,NA,NA,41.44,NA,NA
1449,1,3,51.23,55.21,62.21,62.86,67.51,67.03
1450,1,NA,NA,NA,NA,48.02,53.54,59.41
1451,2,NA,NA,NA,NA,73.68,79.5,77.89
1452,1,2,63.79,66.99,69.11,76.02,75.7,78.8
1453,2,NA,NA,NA,NA,74.11,76.85,73.88
1454,1,NA,NA,NA,NA,69.85,NA,NA
1455,1,NA,NA,NA,NA,73.74,80.69,80.88
1456,2,2,51.69,NA,NA,NA,NA,NA
1457,1,1,58.57,NA,64.17,67.75,75.91,75.2
1458,1,NA,NA,NA,NA,60.11,62.37,62.97
1459,1,NA,NA,NA,NA,68.14,70.14,75.82
1460,2,1,48.89,NA,66.62,67.52,NA,NA
1461,2,NA,NA,NA,NA,39.89,51.26,60.36
1462,2,NA,37.78,31.81,NA,NA,NA,NA
1463,1,NA,NA,NA,NA,49.61,69.27,61.48
1464,2,2,53.8,53.83,65.73,63.5,65.39,71.45
1465,2,1,54.43,NA,45.1,49.72,52.49,NA
1466,2,NA,NA,NA,NA,78.99,81.88,85.21
1467,1,NA,NA,NA,NA,50.23,NA,NA
1468,2,NA,NA,NA,NA,70.3,78.38,NA
1469,2,NA,40.99,NA,35.19,35.18,NA,NA
1470,2,2,56.52,56.43,NA,65.21,67.14,68.84
1471,2,NA,NA,NA,NA,59.43,60.36,68.58
1472,2,1,43.76,52.69,57.64,52.62,46.39,NA
1473,1,1,57.17,65.42,65.83,65.32,NA,NA
1474,2,NA,NA,NA,NA,58.86,NA,NA
1475,2,NA,NA,NA,NA,50.72,NA,NA
1476,2,NA,68.04,68.39,73.73,83.04,85.34,85.18
1477,1,NA,NA,NA,NA,55.59,65.3,61.41
1478,2,NA,NA,NA,NA,NA,NA,NA
