CASENUM,GENDER,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L
1416,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1417,2,3,2,2,2,2,2,2,2,2,2
1418,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1420,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1421,2,1,1,1,1,1,1,1,1,1,1
1422,1,1,2,3,3,1,2,2,2,3,2
1423,2,3,3,3,3,3,3,3,3,3,3
1424,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1425,1,1,1,1,5,5,4,2,2,2,2
1426,2,4,4,2,2,1,1,1,1,3,1
1427,1,4,4,2,4,3,5,3,3,4,4
1428,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1429,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1430,2,2,2,2,2,2,2,2,2,2,2
1431,2,2,1,1,2,2,1,2,2,2,2
1432,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1433,2,3,3,3,3,3,3,3,3,3,3
1434,1,4,2,2,4,2,4,2,4,4,2
1435,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1437,1,2,2,1,2,1,1,2,2,2,2
1438,2,5,2,3,2,3,2,2,2,2,3
1439,1,1,4,2,2,2,1,2,2,1,1
1440,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1441,1,2,2,2,2,2,5,2,2,4,4
1442,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1444,2,4,2,4,2,2,2,2,2,2,2
1445,2,3,2,3,2,2,4,3,3,3,3
1446,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1447,2,5,3,3,3,3,3,3,3,3,3
1448,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1449,1,4,3,2,2,2,1,3,2,3,1
1450,1,1,1,3,3,1,5,5,3,5,5
1451,2,2,3,2,2,3,2,1,1,2,2
1452,1,2,2,2,2,1,4,3,2,3,3
1453,2,2,2,2,2,2,2,2,2,2,2
1454,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,1,4,2,2,2,2,4,3,2,3,3
1456,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1457,1,5,2,3,5,2,5,2,5,NA,2
1458,1,5,2,2,2,2,3,4,2,4,4
1459,1,4,3,2,2,2,2,2,2,3,3
1460,2,1,4,3,3,2,2,4,NA,NA,3
1461,2,3,2,2,2,2,4,4,4,4,4
1462,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1463,1,2,2,2,2,2,2,2,2,2,2
1464,2,4,2,2,2,2,4,2,3,4,4
