    47.040    50.890    64.880    66.780         *    68.650     0.000     2.000    51.110     3.807    50.959     3.737     0.000     0.128     0.010     0.862     4.000
    56.630    53.410    63.220    71.440    74.020         *     0.000     1.000    54.785     4.585    54.777     4.645     0.000     0.895     0.000     0.105     2.000
    52.610         *    46.860         *         *         *     1.000     1.000    47.654     1.920    47.345     2.606     0.260     0.053     0.002     0.686     4.000
    44.290    36.310    46.750         *    42.020    37.100     1.000     1.000    41.422     0.283    41.543     0.220     0.935     0.000     0.000     0.065     1.000
    55.430    54.570    63.090    65.270    66.620    69.570     0.000     3.000    54.814     3.068    54.284     3.130     0.000     0.480     0.000     0.520     4.000
    50.590    60.740    59.340         *    62.520    64.970     0.000     1.000    53.220     2.547    54.482     2.339     0.000     0.571     0.000     0.429     2.000
    47.750    46.130    59.790         *         *         *     1.000     1.000    47.558     3.269    47.424     3.257     0.050     0.113     0.016     0.822     4.000
    50.490    58.070    61.690    61.200    62.960         *     1.000     1.000    53.502     2.645    54.043     2.540     0.001     0.792     0.000     0.207     2.000
    36.810         *         *         *         *         *     1.000     3.000    39.349     2.973    37.991     2.051     0.673     0.004     0.077     0.247     1.000
    49.370    46.300         *         *         *         *     1.000     2.000    47.166     2.571    47.411     3.057     0.243     0.060     0.012     0.685     4.000
    47.080    49.540    66.800    63.890         *         *     0.000     2.000    50.372     3.963    50.585     3.707     0.001     0.037     0.052     0.911     4.000
    46.680    45.120    53.630         *         *         *     1.000     1.000    45.768     2.799    45.574     3.103     0.149     0.153     0.007     0.692     4.000
    57.140    60.210         *         *         *         *     0.000     2.000    56.719     3.224    57.650     3.423     0.005     0.685     0.001     0.308     2.000
    32.190    31.060         *         *         *         *     0.000     3.000    33.157     1.635    33.038     1.355     0.943     0.000     0.030     0.028     1.000
    38.010         *    39.040    34.200         *         *     1.000     1.000    37.509     0.576    37.624     0.435     0.923     0.000     0.001     0.076     1.000
    66.480         *    69.770    70.120    73.560         *     1.000     1.000    62.850     2.709    62.883     2.705     0.000     0.987     0.000     0.013     2.000
    53.830    58.890         *         *         *         *     0.000     3.000    54.625     3.180    53.838     3.040     0.013     0.314     0.007     0.667     4.000
    42.620    36.040         *         *         *         *     0.000     2.000    40.536     1.502    39.934     0.228     0.631     0.000     0.041     0.328     1.000
    52.100    49.770         *         *         *         *     1.000     3.000    50.228     2.902    50.460     3.114     0.136     0.085     0.011     0.769     4.000
    49.510         *         *         *         *         *     1.000     1.000    49.239     2.826    47.946     2.976     0.118     0.351     0.012     0.520     4.000
    51.870    49.700    56.100    48.530    64.350    69.690     1.000     3.000    49.023     3.235    49.022     3.293     0.061     0.002     0.000     0.937     4.000
    48.920    57.870    58.730    64.700         *         *     0.000     2.000    52.518     3.533    53.263     3.613     0.001     0.545     0.004     0.451     2.000
    59.190         *         *    63.150         *         *     1.000     2.000    56.199     2.609    57.021     2.498     0.004     0.634     0.000     0.362     2.000
    69.030    71.360    72.240    72.770    73.410    82.830     0.000     3.000    66.613     2.312    66.700     2.294     0.000     0.966     0.000     0.034     2.000
